=== Game Metadata ===
Players      : Ding, Liren vs Gukesh D
Result       : 1-0
ECO / Opening: A13 | English Opening: Agincourt Defense (None)
Time Control : 40/7200:1800+30  Speed=classical
Event/Site   : 2024 FIDE Chess World Championship @ ?

=== Aggregate Metrics ===
Total moves     : 39
Total plies     : 77
Captures/Checks : 9 / 1
Promotions/Mates: 0 / 0
Think White (tot/avg/max): 6985.00 / 179.10256410256412 / 1050.0
Think Black (tot/avg/max): 7009.00 / 184.44736842105263 / 1581.0
Both castled ply : 18
Both queens off ply: None

=== Move Features (all) ===
PLY | SD | FM  | SAN        | KIND        | CAP | CHK | EMT     | CLOCK     | EVAL    | DIST | PROM | NAGS     | NSYM  
046 | b  | 23  | Bxf4       | CAPTURE     | 1   | 0   | 242.00  | 852.0     | +2.24   | 1    | -    |          |       
047 | w  | 24  | Bxf4       | CAPTURE     | 1   | 0   | 4.00    | 1096.0    | +2.36   | 1    | -    |          |       
048 | b  | 24  | Rc8        | NORMAL      | 0   | 0   | 59.00   | 793.0     | +2.34   | 1    | -    |          |       
049 | w  | 25  | Qc3        | NORMAL      | 0   | 0   | 65.00   | 1031.0    | +2.30   | 1    | -    |          |       
050 | b  | 25  | Nb8        | NORMAL      | 0   | 0   | 331.00  | 462.0     | +3.15   | 3    | -    | 6        | ?!    
051 | w  | 26  | d5         | NORMAL      | 0   | 0   | 194.00  | 837.0     | +2.57   | 1    | -    |          |       
052 | b  | 26  | Qd7        | NORMAL      | 0   | 0   | 1.00    | 461.0     | +3.56   | 1    | -    | 6        | ?!    
053 | w  | 27  | d6         | NORMAL      | 0   | 0   | 133.00  | 704.0     | +3.69   | 1    | -    |          |       
054 | b  | 27  | c5         | NORMAL      | 0   | 0   | 4.00    | 457.0     | +3.72   | 2    | -    |          |       
055 | w  | 28  | Nc7        | NORMAL      | 0   | 0   | 29.00   | 675.0     | +3.71   | 3    | -    |          |       
056 | b  | 28  | Rf8        | NORMAL      | 0   | 0   | 7.00    | 450.0     | +3.36   | 1    | -    |          |       
057 | w  | 29  | Bxe4       | CAPTURE     | 1   | 0   | 152.00  | 523.0     | +3.55   | 2    | -    |          |       
058 | b  | 29  | Nc6        | NORMAL      | 0   | 0   | 1.00    | 449.0     | +4.30   | 3    | -    |          |       
059 | w  | 30  | Bg2        | NORMAL      | 0   | 0   | 43.00   | 480.0     | +4.08   | 2    | -    |          |       
060 | b  | 30  | Rcd8       | NORMAL      | 0   | 0   | 42.00   | 407.0     | +4.44   | 1    | -    |          |       
061 | w  | 31  | Nd5        | NORMAL      | 0   | 0   | 67.00   | 413.0     | +4.51   | 3    | -    |          |       
062 | b  | 31  | Nxd5       | CAPTURE     | 1   | 0   | 1.00    | 406.0     | +4.38   | 3    | -    |          |       
063 | w  | 32  | cxd5       | CAPTURE     | 1   | 0   | 5.00    | 408.0     | +4.32   | 1    | -    |          |       
064 | b  | 32  | Nb8        | NORMAL      | 0   | 0   | 63.00   | 343.0     | +4.45   | 3    | -    |          |       
065 | w  | 33  | Qxc5       | CAPTURE     | 1   | 0   | 12.00   | 396.0     | +4.52   | 2    | -    |          |       
066 | b  | 33  | Rc8        | NORMAL      | 0   | 0   | 0.00    | 343.0     | +4.50   | 1    | -    |          |       
067 | w  | 34  | Qd4        | NORMAL      | 0   | 0   | 38.00   | 358.0     | +4.46   | 1    | -    |          |       
068 | b  | 34  | Na6        | NORMAL      | 0   | 0   | 42.00   | 301.0     | +5.28   | 3    | -    |          |       
069 | w  | 35  | Re7        | NORMAL      | 0   | 0   | 11.00   | 347.0     | +5.24   | 6    | -    |          |       
070 | b  | 35  | Qb5        | NORMAL      | 0   | 0   | 1.00    | 300.0     | +5.28   | 2    | -    |          |       
071 | w  | 36  | d7         | NORMAL      | 0   | 0   | 32.00   | 315.0     | +5.24   | 1    | -    |          |       
072 | b  | 36  | Rc4        | NORMAL      | 0   | 0   | 0.00    | 300.0     | +6.91   | 4    | -    | 6        | ?!    
073 | w  | 37  | Qe3        | NORMAL      | 0   | 0   | 25.00   | 290.0     | +5.57   | 1    | -    |          |       
074 | b  | 37  | Rc2        | NORMAL      | 0   | 0   | 11.00   | 289.0     | +5.73   | 2    | -    |          |       
075 | w  | 38  | Bd6        | NORMAL      | 0   | 0   | 67.00   | 223.0     | +5.67   | 2    | -    |          |       
076 | b  | 38  | f6         | NORMAL      | 0   | 0   | 98.00   | 191.0     | #8      | 1    | -    | 4        | ??    
077 | w  | 39  | Rxg7+      | CHECK       | 1   | 1   | 8.00    | 215.0     | #7      | 2    | -    |          |       
